Series,Part Number,Name,Subcategory,Images,Comments
Drift,8037PHF,"High Back Lounge, Wood Swivel Base, Head & Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Wood Swivel Base,TRUE,
Drift,8032,"Side Chair, Chrome Swivel Base ",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8032F,"Side Chair, Chrome Swivel Base, Flip Forward Seat",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8032P,"Side Chair, Chrome Swivel Base, Arm Patches",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8032PF,"Side Chair, Chrome Swivel Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8034,"Low Back Lounge, Chrome Swivel Base",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8034F,"Low Back Lounge, Chrome Swivel Base, Flip Forward Seat",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8034P,"Low Back Lounge, Chrome Swivel Base, Arm Patches",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8034PF,"Low Back Lounge, Chrome Swivel Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8036,"Mid Back Lounge, Chrome Swivel Base",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8036F,"Mid Back Lounge, Chrome Swivel Base, Flip Forward Seat",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8036P,"Mid Back Lounge, Chrome Swivel Base, Arm Patches",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8036PF,"Mid Back Lounge, Chrome Swivel Base, Arm Patches, Flip Forward Seat ",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8038,"High Back Lounge, Chrome Swivel Base",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8038F,"High Back Lounge, Chrome Swivel Base, Flip Forward Seat",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8038P,"High Back Lounge, Chrome Swivel Base, Arm Patches",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8038PF,"High Back Lounge, Chrome Swivel Base, Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8038PH,"High Back Lounge, Chrome Swivel Base, Head & Arm Patches",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8038PHF,"High Back Lounge, Chrome Swivel Base, Head & Arm Patches, Flip Forward Seat",Lounge + Side Chairs - Chrome Swivel Base,TRUE,
Drift,8022,"Side Chair, Swivel Tilt, Five Star Base",Side Chair - Five Star Base,TRUE,
Drift,8022P,"Side Chair, Swivel Tilt, Five Star Base, Arm Patches",Side Chair - Five Star Base,TRUE,
